order_id,order_date,customer,region,product,quantity,unit_price,channel,status,revenue,order_month
1001,2026-01-05,Ava,East,Notebook,2,8.99,Online,complete,17.98,1
1002,2026-01-05,Miles,Midwest,Pen,10,1.25,In-Store,complete,12.5,1
1003,2026-01-06,Noah,West,Notebook,1,8.99,Online,complete,8.99,1
1004,2026-01-06,Ava,East,Backpack,1,10.178333333333335,Online,returned,10.178333333333335,1
1005,2026-01-07,Priya,South,Pen,5,1.25,In-Store,complete,6.25,1
1006,2026-01-07,Noah,West,Marker,3,2.5,In-Store,complete,7.5,1
1007,2026-01-08,Miles,Midwest,Backpack,2,39.0,Online,complete,78.0,1
1008,2026-01-08,Ava,,Marker,4,2.5,In-Store,complete,10.0,1
1009,2026-01-09,Priya,South,Notebook,2,8.99,Online,complete,17.98,1
1010,2026-01-09,Jordan,East,Pen,8,1.25,Online,complete,10.0,1
1011,2026-01-10,Miles,Midwest,Binder,3,5.5,In-Store,complete,16.5,1
1012,2026-01-10,Sofia,West,Backpack,1,39.0,Online,complete,39.0,1
1013,2026-01-11,Ava,East,Binder,2,10.178333333333335,In-Store,complete,20.35666666666667,1
1014,2026-01-11,Jordan,East,Marker,6,2.5,Online,complete,15.0,1
1015,2026-01-12,Noah,West,Pen,4,1.25,In-Store,returned,5.0,1
1016,2026-01-12,Sofia,West,Binder,1,5.5,Online,complete,5.5,1
1017,2026-01-13,Priya,South,Backpack,1,39.0,In-Store,complete,39.0,1
1018,2026-01-13,Miles,Midwest,Notebook,3,8.99,Online,complete,26.97,1
1019,2026-01-14,Ava,East,Pen,12,1.25,In-Store,complete,15.0,1
1020,2026-01-14,Jordan,,Binder,2,5.5,Online,complete,11.0,1
